raw,sentids,split,filename,img_id
"[""A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone's back."", ""A man is putting a tattoo on a another's man upper back."", ""A man with a black shirt giving another man a tattoo."", ""A man is putting tattoo on his back."", ""A man getting a tattoo on his back.""]","[110, 111, 112, 113, 114]",train,100577935.jpg,22
"[""Two children, a girl and a boy are practicing their writing."", ""Two children sit on a small seesaw in the sand."", ""Two children sitting on a teeter totter."", ""2 kids playing on a seesaw"", ""Two kids sit on a seesaw.""]","[115, 116, 117, 118, 119]",train,1006452823.jpg,23
"[""A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag."", ""A man wearing a hard hat and a caution vest is standing in the street waving an orange flag."", ""A man in bright vest and hard hat holds a flag on a street corner covered in spray paint"", ""A construction worker is standing in the street and holding a red flag."", ""A man wearing a reflective vest and a hard hat holds a flag in the road""]","[120, 121, 122, 123, 124]",train,100652400.jpg,24
"[""The man with pierced ears is wearing glasses and an orange hat."", ""A man with glasses is wearing a beer can crocheted hat."", ""A man with gauges and glasses is wearing a Blitz hat."", ""A man in an orange hat starring at something."", ""A man wears an orange hat and glasses.""]","[125, 126, 127, 128, 129]",test,1007129816.jpg,25
"[""A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings."", ""A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene."", ""A person with gray hair is painting in a public place surrounded by others who are also painting."", ""Lady in blue coat with white and brown hat standing in front of a painting."", ""Passerby admiring painting at an outdoor art fair.""]","[130, 131, 132, 133, 134]",train,100716317.jpg,26
"[""A man stands on one foot while holding on to a waste basket."", ""A man in green pants and blue shirt pushing a cart."", ""Janitor pushing dolly outside with janitor tools."", ""A man in green pants walking down the road."", ""A man in bright pants is pushing a cart.""]","[135, 136, 137, 138, 139]",train,1007205537.jpg,27
"[""A small child grips onto the red ropes at the playground."", ""A little girl in pink climbs a rope bridge at the park."", ""The small child climbs on a red ropes on a playground."", ""A little girl climbing on red roping."", ""A child playing on a rope net.""]","[140, 141, 142, 143, 144]",train,1007320043.jpg,28
"[""Young man in jacket holding a toothpick with something on the end of it"", ""A young man traveling on bus with a piece of flower in his hands."", ""A teen holding an unknown object for photographers."", ""A young man on a train holds an origami crane."", ""You know i am looking like Justin Bieber.""]","[145, 146, 147, 148, 149]",train,100759042.jpg,29
"[""Young blond man in a blue and yellow jacket smiling while standing in front of a net."", ""A young man in a black and yellow jacket is gazing at something and smiling."", ""A young man holding a pole vault looks determined."", ""A man is holding a pole and smiling."", ""A smiling man looking at the sky.""]","[150, 151, 152, 153, 154]",train,10082347.jpg,30
"[""A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug."", ""A man is wearing a ball cap and holding a coffee cup between to urinals."", ""A man is posing next to a urinal with a cup of coffee."", ""A man holds a coffee cup while in the bathroom."", ""A man standing at a urinal with a coffee cup.""]","[155, 156, 157, 158, 159]",train,10082348.jpg,31
"[""Five people walking with a multicolored sky in the background."", ""Four people walking through the sunset in clear blue skies."", ""Four people walking with the sun setting behind them."", ""Four silhouettes decorate the horizon's sunset."", ""A group of people walking as the sun sets.""]","[160, 161, 162, 163, 164]",train,100845130.jpg,32
"[""A man with black hair sits in a restaurant with a glass of beer."", ""A man is sitting at a table with a drink."", ""A man is sitting at a table with a beer."", ""A dark-haired man sitting drinking."", ""A old man having a beer alone.""]","[165, 166, 167, 168, 169]",train,10090841.jpg,33
"[""A black and white dog is running in a grassy garden surrounded by a white fence."", ""A Boston Terrier is running on lush green grass in front of a white fence."", ""A black and white dog is running through the grass."", ""A dog runs on the green grass near a wooden fence."", ""A Boston terrier is running in the grass.""]","[170, 171, 172, 173, 174]",test,1009434119.jpg,34
"[""An officer in a reflective vest stands at the front of his van with his dog."", ""A trained police dog sits next to his handler in front of the police van."", ""A security man with his watch dog is looking for something."", ""A policeman is standing with a German Shepherd dog."", ""A policeman stops on a street with a search dog.""]","[175, 176, 177, 178, 179]",train,1009692167.jpg,35
"[""The \""white out\"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood."", ""A young boy rides a bike down a snow covered road."", ""A boy in the snow riding his bike down the street."", ""A person riding a bike on a snowy road."", ""A person riding a bike in snow.""]","[180, 181, 182, 183, 184]",train,101001624.jpg,36
"[""Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van."", ""Small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking."", ""Five men in white short-sleeved shirts and ties stand in a parking lot."", ""A group of men wearing ties talk while standing on the street."", ""Colleges stop to take a break from there business meetings.""]","[185, 186, 187, 188, 189]",train,1010031975.jpg,37
"[""A tan man with a backwards hat looks at the camera while walking through a factory."", ""Older man working in a factory not looking too excited about the photograph."", ""A man in a white shirt and black camp among many machines."", ""A man with a backwards hat works on machinery."", ""A man wearing a backwards cap at work.""]","[190, 191, 192, 193, 194]",train,1010087179.jpg,38
"[""A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor."", ""A black woman and a white man working in a factory setting packing jars with candles into boxes."", ""A woman is sorting white tall candles as a man in a green shirt stands behind her."", ""A warehouse manager assisting an employee."", ""Two people working on an assembly line.""]","[195, 196, 197, 198, 199]",train,1010087623.jpg,39
"[""Man wearing a blue and white outfit, holding a broom, with a traditional Asian architecture in the background."", ""A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement."", ""A man in a white and blue kimono is using a broom to sweep pavement."", ""Man sweeping the street outside."", ""Asian man sweeping the walkway.""]","[200, 201, 202, 203, 204]",train,10101477.jpg,40
"[""Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by"", ""A man leans into a car to talk to the driver, as a man on a bicycle looks on."", ""A man on a bicycle watching a row of cars waiting to go through a checkpoint."", ""A park ranger talking to a tourist."", ""Two cars are parked outside.""]","[205, 206, 207, 208, 209]",train,1010470346.jpg,41
"[""A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass."", ""Two young children eating a snack and playing in the grass."", ""Two young toddlers outside on the grass."", ""Two infants are at play in the yard."", ""2 female babies eating chips.""]","[210, 211, 212, 213, 214]",train,1010673430.jpg,42
"[""A person in tan pants is inside a silver mobile object while people watch."", ""People are watching a person in a weird vehicle in a plaza."", ""A man in a blue shirt driving a Segway type vehicle."", ""A showing of product to advertise"", ""A crowd admiring modern art?""]","[215, 216, 217, 218, 219]",train,101093029.jpg,43
"[""A man in black approaches a strange silver object containing a person, while many onlookers observe from behind a roped off barrier."", ""A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches."", ""A person riding in a futuristic single-person vehicle."", ""Man walking up to silver 4-wheeled chair"", ""A man walks by a silver vehicle.""]","[220, 221, 222, 223, 224]",train,101093045.jpg,44
"[""Bride and groom walking side by side out of focus on pathway next to brick building."", ""A beautiful bride walking on a sidewalk with her new husband."", ""A recently married couple pose for the camera."", ""A groom and bride are standing arm in arm."", ""A couple getting married.""]","[225, 226, 227, 228, 229]",train,1011572216.jpg,45
"[""A little boy plays with a Nintendo GameCube controller inside a McDonald's."", ""A young boy plays a video game in a McDonald's restaurant."", ""A young boy plays with a GameCube kiosk at McDonald's."", ""A little boy playing GameCube at a McDonald's."", ""A little kid playing GameCube at McDonald's.""]","[230, 231, 232, 233, 234]",train,1012150929.jpg,46
"[""White dog with brown ears standing near water with head turned to one side."", ""Dog with orange ball at feet, stands on shore shaking off water"", ""A white dog shakes on the edge of a beach with an orange ball."", ""White dog playing with a red ball on the shore near the water."", ""A dog shakes its head near the shore, a red ball next to it.""]","[235, 236, 237, 238, 239]",train,1012212859.jpg,47
"[""A group of people picnicking at picnic tables in front of a playground."", ""A group of people enjoying a beautiful day in the park."", ""A group of people are having a picnic at the park."", ""The reunion is in full swing with a moon bounce."", ""A group of people having a barbecue at a park.""]","[240, 241, 242, 243, 244]",train,1012328893.jpg,48
"[""Two asian or spanish people, a woman and a man, sitting together in front of a glass window as cars pass."", ""A man in sunglasses puts his arm around a woman in a black and white blouse."", ""A man in sunglasses puts his arm around a woman."", ""A man and woman pose in front of some traffic."", ""An Asian couple sitting on the bench.""]","[245, 246, 247, 248, 249]",train,101262930.jpg,49
"[""Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background."", ""An elderly woman is eating a burger while the man next to her touching his hat."", ""A man with a balloon hat and people eating outdoors at picnic tables."", ""Two older women sit at a table with two coolers in front of them."", ""A gray-haired person with glasses enjoys a sandwich.""]","[250, 251, 252, 253, 254]",train,1013536888.jpg,50
"[""A young female student performing a downward kick to break a board held by her Karate instructor."", ""Girl about to kick a piece of wood in half while karate instructor holds it"", ""A girl kicking a stick that a man is holding in tae kwon do class."", ""A girl in karate uniform breaking a stick with a front kick."", ""A girl breaking boards by using karate.""]","[255, 256, 257, 258, 259]",test,101362133.jpg,51
"[""Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat."", ""A boy jump kicking over three kids kicking wood during a tae kwon do competition."", ""A boy jumps over three other students in a martial arts demonstration."", ""A crowd is watching a group of five martial artists perform."", ""A crowd of people watch a martial arts demonstration.""]","[260, 261, 262, 263, 264]",train,101362650.jpg,52
"[""People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him."", ""A kid in a red sweatshirt is reaching to hand something to a man in a white shirt"", ""A young boy empties a bottle over the railing of a balcony unto the man below."", ""A boy in a red jacket pouring water on a man in a white shirt"", ""A young man pouring the contents of a bottle.""]","[265, 266, 267, 268, 269]",train,1014609273.jpg,53
"[""A man with a red jacket is shielding himself from the sun trying to read a piece of paper."", ""A man wearing a red coat is outside with his hand over his head to block out the sun."", ""A man in a red jacket shades the sun from his eyes on a busy street."", ""An elderly man in a red jacket shielding his face from the sun."", ""Man in red jacket shielding face from the sun to read.""]","[270, 271, 272, 273, 274]",train,101471792.jpg,54
"[""Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood."", ""Two men, each with a small child on their backs, walk on a paved road."", ""Two men are out for a stroll with their two young children."", ""Men walking down a street with children."", ""Two men walking with children.""]","[275, 276, 277, 278, 279]",train,1014785440.jpg,55
"[""Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him."", ""A little boy is standing on the street while a man in overalls is working on a stone wall."", ""A young child is walking on a stone paved street with a metal pole and a man behind him."", ""A boy smiles in front of a stony wall in a city."", ""A young boy runs aross the street.""]","[280, 281, 282, 283, 284]",train,1015118661.jpg,56
"[""A mottled black and gray dog in a blue collar jumping over a fallen tree."", ""A gray dog is leaping over a fallen tree."", ""A large black dog leaps a fallen log."", ""The black dog jumped the tree stump."", ""A black dog leaps over a log.""]","[285, 286, 287, 288, 289]",train,1015584366.jpg,57
"[""Men in the business suits are crossing the street, and there are people with placards are gathering on the street."", ""A man in a suit runs across an intersection while a large group of people assembles."", ""A man in a suit is running past two other gentleman, also dressed in a suit."", ""A man in a suit is hurrying across the street."", ""A man in a suit is running across the street.""]","[290, 291, 292, 293, 294]",train,101559400.jpg,58
"[""A man in a red long-sleeved shirt bikes over a body of water on a bridge."", ""A man riding his bike across the bridge that is over the river."", ""A man in red on a bicycle rides past a glass structure."", ""Man in a red shirt riding his bicycle around water."", ""A man in a red shirt rides his bicycle.""]","[295, 296, 297, 298, 299]",train,1015712668.jpg,59
"[""A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup."", ""A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it."", ""A young man in sunglasses holds a blue cup next to a grill with sausages."", ""A young man, wearing a white shirt, prepares hotdogs on a small grill."", ""A man is holding his cup while he grills hotdogs.""]","[300, 301, 302, 303, 304]",train,10160966.jpg,60
"[""The white and brown dog is running over the surface of the snow."", ""A white and brown dog is running through a snow covered field."", ""A brown and white dog is running through the snow."", ""A dog running through snow."", ""A dog is running in the snow""]","[305, 306, 307, 308, 309]",train,101654506.jpg,61
"[""Man on scooter attracts attention from some of those in large crowd."", ""A crowd is standing and waiting for the green light."", ""People stop and look at an older woman outside."", ""A crowd of people waiting to cross a street."", ""A crowd of people waiting for the light.""]","[310, 311, 312, 313, 314]",train,1016626169.jpg,62
"[""A person wearing skis looking at framed pictures set up in the snow."", ""A man in a hat is displaying pictures next to a skier in a blue hat."", ""A man skis past another man displaying paintings in the snow."", ""A skier looks at framed pictures in the snow next to trees."", ""Man on skis looking at artwork for sale in the snow""]","[315, 316, 317, 318, 319]",train,101669240.jpg,63
"[""Several climbers in a row are climbing the rock while the man in red watches and holds the line."", ""Seven climbers are ascending a rock face whilst another man stands holding the rope."", ""A group of people are rock climbing on a rock climbing wall."", ""A group of people climbing a rock while one man belays"", ""A collage of one person climbing a cliff.""]","[320, 321, 322, 323, 324]",train,1016887272.jpg,64
"[""A young gymnast, jumps high in the air, while performing on a balance beam."", ""A woman wearing an orange leotard doing gymnastics in front of an audience."", ""A gymnast performing on the balance beam in front of an audience."", ""The young gymnast's supple body soars above the balance beam."", ""A gymnast is performing on the balance beam.""]","[325, 326, 327, 328, 329]",train,1017675163.jpg,65
"[""A boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool."", ""A young boy is pushing a toy ATV around a rubber pool"", ""A boy pushing a red toy atv next to a pool"", ""A boy pushing a miniature car on a lawn."", ""A young boy pushing his toy quad.""]","[330, 331, 332, 333, 334]",train,1018057225.jpg,66
"[""A group of people stand in the back of a truck filled with cotton."", ""Men are standing on and about a truck carrying a white substance."", ""A group of people are standing on a pile of wool in a truck."", ""A group of men are loading cotton onto a truck"", ""Workers load sheared wool onto a truck.""]","[335, 336, 337, 338, 339]",val,1018148011.jpg,67
"[""A woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck."", ""A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope."", ""Woman in red windbreaker looking though a rooftop binoculars at the city below."", ""A woman in a headscarf uses a telescope to look out over the city and bay."", ""A Woman is looking through a telescope while wearing a red coat.""]","[340, 341, 342, 343, 344]",train,101859883.jpg,68
"[""A man in a black coat walks past a red spaceship with a parking ticket stuck to its window."", ""A man is standing in front of a small red object that looks like a plane."", ""A man wearing a black jacket is walking towards the street."", ""A man in a black jacket is moving towards a street."", ""Man in black coat examining airplane nose.""]","[345, 346, 347, 348, 349]",train,10188041.jpg,69
"[""Large brown dog running away from the sprinkler in the grass."", ""A brown dog chases the water from a sprinkler on a lawn."", ""A brown dog running on a lawn near a garden hose"", ""A brown dog plays with the hose."", ""A dog is playing with a hose.""]","[350, 351, 352, 353, 354]",train,1019077836.jpg,70
"[""A man and a little girl happily posing in front of their cart in a supermarket."", ""A man sitting with his daughter in his daughter's pink car in a grocery store."", ""A man is sitting on a pink cart with a little girl in the grocery store."", ""A man with his daughter sitting on a stroller in a supermarket."", ""The little girl and the man are smiling.""]","[355, 356, 357, 358, 359]",train,101958970.jpg,71
"[""A dog prepares to catch a thrown object in a field with nearby cars."", ""A white dog is ready to catch a yellow ball flying through the air."", ""A white dog is about to catch a yellow ball in its mouth."", ""A white dog is about to catch a yellow dog toy."", ""A white dog running after a yellow ball""]","[360, 361, 362, 363, 364]",train,1019604187.jpg,72
"[""A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him."", ""Guy in green shirt with hand covering part of his face in restaurant booth."", ""Man sitting at a table at a restaurant with a glass of water."", ""A man in a green sweater and black vest sitting in a booth."", ""A boy in a green sweater is sitting at a table.""]","[365, 366, 367, 368, 369]",train,102030371.jpg,73
"[""A white dog is trying to catch a ball in midair over a grassy field."", ""The white dog is playing in a green field with a yellow toy."", ""A black and white dog jumping in the air to get a toy."", ""A black and white dog jumps up towards a yellow toy."", ""A dog leaps to catch a ball in a field.""]","[370, 371, 372, 373, 374]",train,1020651753.jpg,74
"[""Two men are hiking in a forest where snow is partially covering the ground."", ""Two men hiking in the snowy wilderness."", ""Two hikers resting by a patch of snow."", ""Two men look up while hiking."", ""Two men hiking in the snow.""]","[375, 376, 377, 378, 379]",train,1021293940.jpg,75
"[""An elderly man with facial hair and glasses, standing in his living room holding a hutch cabinet with glass doors."", ""An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet."", ""A middle-aged man with a white beard and glasses holds up a small, wooden handmade cabinet."", ""A man showing off his new wooden creation."", ""A man with beard carrying a cabinet.""]","[380, 381, 382, 383, 384]",train,1021332107.jpg,76
"[""Two guys sitting on the floor, with the guy in the green jacket reading a piece of paper."", ""A elderly father and his grown son are preparing for a camping trip in the wild."", ""Two men sit on the floor with camping equipment."", ""Two men sitting on their living floor."", ""Two guys sorting through some items.""]","[385, 386, 387, 388, 389]",train,1021439420.jpg,77
"[""A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car."", ""A bearded traveler in a red shirt sitting in a car and reading a map."", ""A man wearing a baseball cap is sitting in a car looking at a map."", ""A man in a red t-shirt is sitting in a car looking at a map."", ""A man trying to decipher a map.""]","[390, 391, 392, 393, 394]",train,1021442086.jpg,78
"[""A large lake with a lone duck swimming in it with several people around the edge of it."", ""A young boy waves his hand at the duck in the water surrounded by a green park."", ""Two people are at the edge of a lake, facing the water and the city skyline."", ""A child and a woman are at waters edge in a big city."", ""A little boy at a lake watching a duck.""]","[395, 396, 397, 398, 399]",train,1022454332.jpg,79
"[""A couple and an infant, being held by the male, sitting next to a pond with a nearby stroller."", ""A man and woman care for an infant along the side of a body of water."", ""A couple with their newborn baby sitting under a tree facing a lake."", ""Couple with a baby sit outdoors next to their stroller."", ""A couple sit on the grass with a baby and stroller.""]","[400, 401, 402, 403, 404]",train,1022454428.jpg,80
"[""Three men are standing at night near a black car near a shelter filled with bicycles."", ""Some men standing in front of a building next to a parked car."", ""There are a lot of bikes parked under the curved roof tonight."", ""Police questioning the driver of a black wagon at nighttime."", ""Men under a dome beside a black station wagon.""]","[405, 406, 407, 408, 409]",train,102268204.jpg,81
"[""A black lab with tags frolicks in the water."", ""This is a black dog splashing in the water."", ""The black dog runs through the water."", ""A black dog running in the surf."", ""A dog splashes in the water""]","[410, 411, 412, 413, 414]",train,1022975728.jpg,82
"[""A man is drilling through the frozen ice of a pond."", ""A person in the snow drilling a hole in the ice."", ""A person standing on a frozen lake."", ""A man drilling a hole in the ice."", ""Two men are ice fishing.""]","[415, 416, 417, 418, 419]",train,102351840.jpg,83
"[""Two different breeds of brown and white dogs play on the beach."", ""Two dogs are making a turn on a soft sand beach."", ""Two large tan dogs play along a sandy beach."", ""Two dogs playing in the sand at the beach."", ""Two dogs playing together on a beach.""]","[420, 421, 422, 423, 424]",train,1024138940.jpg,84
"[""An ice climber in a blue jacket and black pants is scaling a frozen ice wall."", ""A person in blue and red ice climbing with two picks."", ""A man uses ice picks and crampons to scale ice."", ""An ice climber scaling a frozen waterfall."", ""Climber climbing an ice wall""]","[425, 426, 427, 428, 429]",train,102455176.jpg,85
"[""Two young men and a young lady walk through a field near the water."", ""Three people walking through a beautiful meadow towards the ocean."", ""Two men and a woman are walking through a field."", ""Two males and one female walking on a path."", ""Three people walking on a path in a meadow.""]","[430, 431, 432, 433, 434]",train,1024613706.jpg,86
"[""A man in black attire shovels snow into the street, disregarding all public safety."", ""Man in black jacket gray snow cap, shovels snow near a street with cars."", ""A man shoveling snow off the roads and sidewalks in a city."", ""A person is cleaning snow and ice off of a city sidewalk."", ""A man shovels slush of the street.""]","[435, 436, 437, 438, 439]",train,102520526.jpg,87
"[""A couple in their wedding attire stand behind a table with a wedding cake and flowers."", ""A bride and groom are standing in front of their wedding cake at their reception."", ""A bride and groom smile as they view their wedding cake at the reception."", ""A couple stands behind their wedding cake."", ""Man and woman cutting wedding cake.""]","[440, 441, 442, 443, 444]",train,102575576.jpg,88
"[""Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles; they are all wearing black snow pants and from left to right they are wearing a black coat, white coat, red coat, blue coat, and black coat."", ""Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background."", ""Five people wearing winter clothing, helmets, and ski goggles stand outside in the snow."", ""A group of snowmobile riders gather in the snow."", ""Group gathered to go snowmobiling.""]","[445, 446, 447, 448, 449]",test,102617084.jpg,89
"[""A black dog carries a green toy in his mouth as he walks through the grass."", ""A wet black dog is carrying a green toy through the grass."", ""A black dog carrying something through the grass."", ""A dog in grass with a blue item in his mouth."", ""A black dog has a blue toy in its mouth.""]","[450, 451, 452, 453, 454]",train,1026685415.jpg,90
"[""A group of woman and children are standing or sitting in front of rows of vegetables."", ""A group of women are trying to sell their vegetable harvest."", ""People lay out vegetables on blankets at a street market."", ""Villagers selling their crops at the market."", ""These are some very large onions.""]","[455, 456, 457, 458, 459]",train,1026792563.jpg,91
"[""A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm."", ""In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt."", ""A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening."", ""A man in an orange shirt sings for the crowd below a sign that says Lucky 13."", ""A punk rocker screaming on stage at concert.""]","[460, 461, 462, 463, 464]",train,1027149103.jpg,92
